Ãå ½ç,ÏÈ ÈÖ,ÇÏ ÈÖ,ÇÏÌ¾,À­Îð,¶ÔÎÌ,µ³¼ê,¥¿¥¤¥à,Ãåº¹,Ã±¾¡,¿Í µ¤,ÇÏÂÎ½Å,Ä´¶µ»Õ
5,8,16,¥¯¥ê¥Î¥ô¥£¥¯¥È¥ê¥¢,ÌÆ5,55.0,µÜºêËÌÅÍ,1:37.1,¥Ï¥Ê,166.6,13.0,450(+4),[Åì] ¹â»Ô·½Æó
6,1,1,¥ì¥ª¥¢¥ë¥Æ¥£¥á¥Ã¥È,²´4,57.0,ÌÚÈ¨¹ªÌé,1:37.3,1.1/4,28.6,9.0,542(-4),[Åì] ËÒ¸÷Æó
7,1,2,¥È¥ì¥ó¥É¥é¥¤¥ó,²´5,57.0,ÀÐ¶¶æû,1:37.4,1/2,8.0,4.0,464(-16),[Åì] ¶âÀ®µ®»Ë
8,7,13,¥Ç¥£¥¢¥·¥å¡¼¥¿¡¼,²´5,57.0,´Ý»³¸µµ¤,1:37.4,¥¢¥¿¥Þ,20.0,6.0,498(0),[Åì] ¹âÌÚÅÐ
9,5,9,¥Õ¥¯¥µ¥ó¥í¡¼¥º,ÌÆ5,55.0,ÌîÃæÍªÂÀ,1:37.4,¥¢¥¿¥Þ,24.6,8.0,454(-4),[Åì] ¾®À¾°ìÃË
10,6,11,¥«¥¿¥Ê,²´4,57.0,ÆâÅÄÇî¹¬,1:37.7,1.3/4,33.5,10.0,508(0),[Åì] ¾å¸¶ÇîÇ·
11,2,3,¥Þ¥µ¥­¥Î¥Æ¥½¡¼¥í,²´5,57.0,¹¬±ÑÌÀ,1:37.7,¥¯¥Ó,37.6,11.0,530(+8),[Åì] ¹âÌÚÅÐ
12,7,14,¥µ¥Î¥Î¥«¥¬¥ä¥­,²´6,57.0,ÅèÅÄ½ã¼¡,1:38.0,2,196.6,14.0,502(-4),[Åì] Èø·ÁÏÂ¹¬
13,3,5,¥Þ¥¤¥¢¥Õ¥§¥¯¥·¥ç¥ó,²´5,57.0,Éð»ÎÂôÍ§,1:38.1,1/2,198.4,15.0,460(-4),[À¾] ÀÐ¶¶¼é
14,4,8,¥¸¥å¥Ë¥¨¡¼¥Ö¥ë,²´5,57.0,¼ÆÅÄÁ±¿Ã,1:38.2,¥¯¥Ó,19.3,5.0,436(-4),[Åì] ÆîÅÄÈþÃÎ
15,5,10,¥³¥¹¥â¥í¥Ö¥í¥¤,²´4,57.0,¼ÆÅÄÂçÃÎ,1:39.4,7,165.3,12.0,510(+6),[Åì] °ËÆ£¿­°ì
½ü,6,12,¥ª¡¼¥±¥¹¥È¥é,²´4,57.0,ËÌÂ¼Í§°ì,,,---,,484(-8),[Åì] ºØÆ£À¿
1,7,8,¥Ù¥¤¥Ó¡¼¥¹¥Æ¥Ã¥×,²´5,55.0,£Í¡¥¥Ç¥à,2:25.3,,4.9,3.0,490(+4),[Åì] µÆÀîÀµÃ£
2,1,1,¥é¥Ü¡¼¥Ê,¥»5,54.0,ÀÐ¶¶æû,2:25.9,3.1/2,9.5,6.0,544(+10),[Åì] Æ£ÂôÏÂÍº
3,8,11,¥Þ¥¤¥Í¥ë¥¯¥é¥Õ¥È,²´6,54.0,¼ÆÅÄÂçÃÎ,2:26.8,5,5.9,4.0,488(0),[Åì] ´ä¸Í¹§¼ù
4,6,6,¥¢¥ë¥à¥Õ¥©¥ë¥Ä¥¡,²´4,55.0,Ê¡±ÊÍ´°ì,2:26.9,¥¯¥Ó,4.1,1.0,456(-4),[À¾] ¸Þ½½ÍòÃé
5,6,7,¥×¥ì¥·¥ã¥¹¥Ö¥ë¡¼,²´5,54.0,ÄÅÂ¼ÌÀ½¨,2:27.8,5,10.3,7.0,444(+2),[Åì] ÁêÂô°ê
6,7,9,¥¹¥×¥Þ¥ó¥Æ,²´5,56.0,¸Íºê·½ÂÀ,2:28.1,1.1/2,9.4,5.0,484(-6),[À¾] ÃÓ¹¾ÂÙ¼÷
7,3,3,¥¨¥ê¥Æ¥£¥¨¡¼¥ë,ÌÆ5,53.0,´Ý»³¸µµ¤,2:28.2,3/4,4.3,2.0,446(+2),[Åì] ÂçÃÝÀµÇî
8,8,10,¥³¥¹¥â¥¢¥ë¥Ø¥Ê,²´7,52.0,ÌÚÈ¨¹ªÌé,2:28.3,3/4,101.8,10.0,484(+6),[Åì] Éð»Ô¹¯ÃË
9,2,2,¥¯¥¢¥È¥ì¥Õ¥©¥¤¥ë,²´4,54.0,ÆâÅÄÇî¹¬,2:28.4,1/2,15.3,8.0,490(-8),[Åì] °ð³À¹¬Íº
10,4,4,¥¨¥Ë¥°¥Þ¥Ð¥ê¥¨¡¼¥È,²´7,54.0,»°±º¹ÄÀ®,2:28.5,1/2,48.9,9.0,500(-2),[Åì] ¸ÍÅÄÇîÊ¸
11,5,5,¥Õ¥ì¥¹¥³¥Ñ¥¹¥È,ÌÆ5,51.0,»³ÅÄ·É»Î,2:29.0,3,149.2,11.0,420(-6),[Åì] ÃæÌî±É¼£
1,1,1,¥ï¥¤¥É¥Õ¥¡¥é¥ª,²´3,57.0,Ê¡±ÊÍ´°ì,1:35.5,,6.6,3.0,498(-2),[À¾] ³Ñµï¾¡É§
2,5,8,¥Ç¥å¡¼¥×¥í¥»¥¹,²´3,56.0,£Í¡¥¥Ç¥à,1:35.5,¥¢¥¿¥Þ,3.0,2.0,464(-6),[À¾] °ÂÅÄÎ´¹Ô
3,6,11,¥À¥ó¥Ä¥­¥ã¥Ã¥¹¥ë,²´3,56.0,¹¬±ÑÌÀ,1:36.0,3,17.9,6.0,478(-8),[À¾] Ã«·é
4,6,10,¥ô¥¡¥Ë¥é¥¢¥¤¥¹,ÌÆ3,54.0,ÅÄÊÕÍµ¿®,1:36.1,3/4,25.5,8.0,444(-2),[À¾] ¹âÌøÂçÊå
5,3,4,¥¨¥ë¥â¥ó¥¹¥È¥í,²´3,56.0,éâÌ¾ÀµµÁ,1:36.1,¥Ï¥Ê,72.8,10.0,478(+10),[À¾] ³Ñµï¾¡É§
6,8,15,¥¢¥·¥ã¥«¥È¥Ö,²´3,56.0,ÂçÌîÂóÌï,1:36.3,1.1/4,58.3,9.0,486(-4),[Åì] ¾®³ÞÎÑ¹°
7,4,6,¥Ç¥¢¥Õ¥ë¡¼¥°,²´3,56.0,ÄÅÂ¼ÌÀ½¨,1:36.4,¥¯¥Ó,2.6,1.0,496(-4),[Åì] ÎëÌÚ¿­¿Ò
8,4,7,¥¶¥Ç¥£¥Õ¥¡¥ì¥ó¥¹,²´3,56.0,ÌîÃæÍªÂÀ,1:36.7,2,117.3,12.0,470(-2),[Åì] ÁêÂô°ê
9,8,14,¥Î¡¼¥ô¥¡¥ì¥ó¥À,²´3,56.0,ËÌÂ¼Í§°ì,1:36.8,1/2,10.7,5.0,530(+2),[À¾] ÀÆÆ£¿ò»Ë
10,7,13,¥Ë¥å¡¼¥â¥Ë¥å¥á¥ó¥È,²´3,56.0,ÀÐ¶¶æû,1:36.8,¥¯¥Ó,19.3,7.0,472(+4),[À¾] ¾®ºê·û
11,2,3,¥ô¥¡¥¤¥È¥Ö¥ê¥Ã¥¯,²´3,56.0,¸Íºê·½ÂÀ,1:36.9,¥¯¥Ó,9.8,4.0,484(-2),[Åì] ÏÂÅÄÀµ°ì
12,7,12,¥ª¥ó¥¶¥¦¥§¥¤,²´3,56.0,¼ÆÅÄÁ±¿Ã,1:37.7,5,148.5,13.0,520(+2),[Åì] ÂçÏÂÅÄÀ®
13,2,2,¥¤¥á¥ë,²´3,56.0,´Ý»³¸µµ¤,1:37.8,1/2,112.1,11.0,460(-6),[À¾] ²»Ìµ½¨¹§
½ü,3,5,¥µ¥È¥Î¥®¥ã¥í¥¹,²´3,56.0,ÀîÅç¿®Æó,,,---,,·×ÉÔ,[À¾] À¾±àÀµÅÔ
½ü,5,9,¥í¡¼¥É¥°¥é¥Ç¥£¥ª,²´3,56.0,ÆâÅÄÇî¹¬,,,---,,·×ÉÔ,[À¾] À¾±º¾¡°ì
1,6,10,¥Þ¥Æ¥ê¥¢¥ë¥ï¡¼¥ë¥É,²´3,51.0,ÌÚÈ¨°éÌé,1:48.3,,17.7,6.0,506(+2),[Åì] ÃæÀî¸øÀ®
2,5,8,¥µ¥Ä¥­¥æ¥Ë¥ô¥¡¡¼¥¹,ÌÆ5,52.0,¾®ÎÓÎ¿Âç,1:48.3,¥¯¥Ó,100.7,13.0,462(0),[Åì] éâÌ¾Íø¹°
3,3,5,¥Þ¡¼¥É¥ì¥ô¥©¥¤¥¹,²´3,54.0,ÆâÅÄÇî¹¬,1:48.5,1.1/4,5.6,3.0,458(-2),[Åì] ÅÄÂ¼¹¯¿Î
4,3,4,¥Ú¥ë¥½¥Ê¥Ç¥¶¥¤¥ó,²´3,54.0,ÂçÌîÂóÌï,1:48.6,¥¯¥Ó,2.4,1.0,474(-2),[Åì] ÂçÃÝÀµÇî
5,5,9,¥·¥È¥é¥¹¥¯¡¼¥é¡¼,¥»6,57.0,ÄÅÂ¼ÌÀ½¨,1:48.6,¥Ï¥Ê,28.9,8.0,454(-4),[Åì] ¹âÌÚÅÐ
6,2,2,¥â¥ó¥Ä¥¡,¥»4,57.0,»°±º¹ÄÀ®,1:48.7,3/4,3.2,2.0,530(+2),[Åì] ¼¯¸ÍÍº°ì
7,6,11,¥¢¥È¥à¥¢¥¹¥È¥ì¥¢,ÌÆ4,52.0,ÂçÄÍ³¤ÅÏ,1:48.8,1/2,198.1,15.0,460(0),[Åì] Àª»ÊÏÂ¹À
8,8,15,¥µ¥ó¥á¥¤¥³¥ó,ÌÆ4,55.0,éâÌ¾ÀµµÁ,1:48.8,¥Ï¥Ê,46.7,10.0,468(+12),[Åì] ¼¯¸ÍÍº°ì
9,4,6,¥È¥Ã¥×¥Û¥é¥¤¥¾¥ó,²´4,57.0,´äÉô½ãÆó,1:48.8,¥Ï¥Ê,93.6,12.0,506(-4),[Åì] ³þÌî¹ÀÆó
10,4,7,¥«¥é¥Æ,²´3,51.0,Æ£ÅÄºÚ¼·,1:49.1,1.3/4,16.3,4.0,496(+16),[Åì] ¹â¶¶¾ÍÂÙ
11,8,14,¥¤¥ë¥ë¡¼¥á,²´4,55.0,ÌîÃæÍªÂÀ,1:49.5,2.1/2,33.6,9.0,484(-6),[Åì] ¹â»Ô·½Æó
12,7,12,¥æ¥­¥Î¥ì¡¼¥Ì,ÌÆ5,55.0,Éð»ÎÂôÍ§,1:49.6,1/2,88.7,11.0,434(-2),[Åì] ÀÐÌÓÁ±É§
13,7,13,¥Þ¥µ¥Î¥·¡¼¥¶¡¼,²´6,57.0,²ÅÆ£µ®¹Ô,1:49.6,¥¢¥¿¥Þ,152.2,14.0,484(-6),[Åì] À¶¿å±Ñ¹î
14,1,1,¥¿¥¤¥×¥à¡¼¥ó,ÌÆ4,55.0,µÜºêËÌÅÍ,1:49.8,1,16.9,5.0,456(-2),[Åì] ÀÄÌÚ¹§Ê¸
15,2,3,¥­¥¿¥Î¥Ê¥·¥é,¥»4,54.0,»³ÅÄ·É»Î,1:50.3,3,24.5,7.0,470(-6),[Åì] ¹â»Ô·½Æó
1,4,4,¥Ó¥Ã¥¯¥¯¥¤¥ó¥Ð¥¤¥ª,ÌÆ2,54.0,¸Íºê·½ÂÀ,1:35.7,,3.6,2.0,478(0),[Åì] ËÒ¸÷Æó
2,8,8,¥½¥è¥®,ÌÆ2,54.0,µÈÅÄË­,1:36.1,2.1/2,23.2,5.0,452(+8),[Åì] ÇôÃ«¾»±û
3,8,9,¥½¥¹¥Ô¥¿,ÌÆ2,52.0,ÌîÃæÍªÂÀ,1:36.1,¥¯¥Ó,30.1,6.0,424(+2),[Åì] È«»³µÈ¹¨
4,6,6,¥í¥¸¥¢¥¤¥ê¥Ã¥·¥å,ÌÆ2,54.0,¥ë¥á¡¼¥ë,1:36.6,3,1.3,1.0,488(-4),[Åì] ¹ñ»Þ±É
5,7,7,¥é¥·¥«¥ë¥¬¥¤¥Ö,ÌÆ2,54.0,¼ÆÅÄÂçÃÎ,1:36.8,1.1/4,84.7,7.0,432(0),[Åì] °ËÆ£Âç»Î
6,2,2,¥è¥ó¥¦¥©¥Ë,ÌÆ2,54.0,ÂçÌîÂóÌï,1:37.1,1.3/4,12.3,3.0,420(-2),[Åì] ÅÄÃæÀ¶Î´
7,5,5,¥¯¥í¥­¥·,ÌÆ2,51.0,ÂçÄÍ³¤ÅÏ,1:37.2,3/4,22.4,4.0,396(+4),[Åì] ÏÂÅÄÍºÆó
8,1,1,¥È¥Þ¥Æ¥£¡¼¥Ê,²´2,54.0,¿ù¸¶À¿¿Í,1:37.5,1.3/4,164.7,9.0,416(0),[Åì] ÀÐÌÓÁ±É§
9,3,3,¥¢¥ë¥È¥¥¡¼¥í,²´2,54.0,´äÉô½ãÆó,1:38.0,3,99.3,8.0,412(-12),[Åì] ÆîÅÄÈþÃÎ
1,8,16,¥¢¥É¥¢¥¹¥Æ¥é,ÌÆ3,54.0,¼ÆÅÄÂçÃÎ,1:39.4,,3.4,2.0,442(+2),[Åì] ³þÌî¹ÀÆó
2,7,14,¥³¥³¥ê¥¸¥ã¥¹¥ß¥ó,ÌÆ3,52.0,ÌîÃæÍªÂÀ,1:39.7,1.3/4,6.5,3.0,462(+2),[Åì] ¸Å²ì¿µÌÀ
3,2,3,¥­¥â¥ó¥«¥é¡¼,ÌÆ3,54.0,¸Íºê·½ÂÀ,1:40.0,2,2.5,1.0,422(+2),[Åì] ºØÆ£À¿
4,5,10,¥¢¡¼¥¹¥¨¥¢¥Ö¥ê¡¼¥º,ÌÆ3,54.0,µÈÅÄË­,1:40.0,¥¢¥¿¥Þ,114.2,15.0,460(+2),[Åì] ÇôÃ«¾»±û
5,6,12,¥¨¥ß¥Í¥ó¥È¥í¡¼¥º,ÌÆ3,54.0,µÜºêËÌÅÍ,1:40.2,1,21.5,7.0,482(0),[Åì] Àª»ÊÏÂ¹À
6,1,1,¥Ä¥­¥Î¥µ¥Ð¥¯,ÌÆ3,53.0,µÆÂô°ì¼ù,1:40.4,1,47.2,9.0,432(-4),[Åì] µÆÂôÎ´ÆÁ
7,4,8,¥¸¥å¥¨¥ë¥¤¥ó¥¶¥µ¥ó,ÌÆ3,54.0,´Ý»³¸µµ¤,1:40.5,3/4,14.8,6.0,464(-10),[Åì] ÏÂÅÄÀµ°ì
8,3,5,¥¼¥í¥«¥é,ÌÆ3,54.0,ÅÄÊÕÍµ¿®,1:40.6,1/2,12.7,5.0,444(-2),[Åì] Æ£¸¶Ã¤Íº
9,5,9,¥«¥Õ¥§¥µ¡¼¥Ð¥ë,ÌÆ3,54.0,ÂçÌîÂóÌï,1:41.0,2.1/2,101.2,13.0,490(-4),[Åì] Ãæ´Ü±ÑÆó
10,6,11,¥ß¥ª¥ê¥Ñ¥ä¥ä¡¼¥à,ÌÆ3,51.0,ÂçÄÍ³¤ÅÏ,1:41.1,3/4,113.3,14.0,426(+10),[Åì] Éð»Ô¹¯ÃË
11,1,2,¥Õ¥í¥ó¥µ¥Ã¥¯,ÌÆ3,54.0,ÆâÅÄÇî¹¬,1:41.5,2.1/2,89.7,11.0,460(+8),[Åì] ¸Å²ì¿µÌÀ
12,2,4,¥Þ¥í¥ê¥ó,ÌÆ3,54.0,»°±º¹ÄÀ®,1:42.1,3.1/2,10.7,4.0,464(+10),[Åì] Éð»Ô¹¯ÃË
13,4,7,¥ì¥Ã¥É¥¢¥Ç¥Ë¥¦¥à,ÌÆ3,51.0,ÌÚÈ¨°éÌé,1:42.2,1/2,26.4,8.0,538(-2),[Åì] ¸ÍÅÄÇîÊ¸
14,8,15,¥Ü¡¼¥ó¥¤¥ó¥á¥¤,ÌÆ3,51.0,Æ£ÅÄºÚ¼·,1:42.2,¥¯¥Ó,99.1,12.0,414(+6),[Åì] ¹â¶¶¾ÍÂÙ
15,7,13,¥é¥ô¥£¥ó¥°¥¦¥§¥¤,ÌÆ3,54.0,¹¾ÅÄ¾ÈÃË,1:42.4,1.1/4,77.1,10.0,468(+8),[Åì] ÅÄÃæ¹ä
16,3,6,¥Ü¡¼¥Ê¥Õ¥¡¥¤¥Ç¥£,ÌÆ3,53.0,ÌÚÈ¨¹ªÌé,1:44.3,Âç,206.4,16.0,466(+10),[Åì] ÃÝÆâÀµÍÎ
1,3,6,¥Û¡¼¥ê¡¼¥é¥¤¥ó,ÌÆ3,54.0,¸Íºê·½ÂÀ,1:21.3,,2.0,1.0,428(+2),[Åì] ÌðÌî±Ñ°ì
2,5,9,¥é¥ó¥É¥ë¡¼¥é¡¼,²´3,56.0,»°±º¹ÄÀ®,1:21.5,1,14.7,5.0,516(+14),[Åì] °ËÆ£·½»°
3,2,4,¥Æ¥ß¥¹,ÌÆ3,52.0,ÌîÃæÍªÂÀ,1:21.7,1.1/2,41.9,10.0,436(-2),[Åì] ¹õ´äÍÛ°ì
4,2,3,¥µ¥¯¥é¥¯¥ê¥¹¥¿¥ë,ÌÆ3,54.0,ÅÄÊÕÍµ¿®,1:21.8,1/2,31.9,9.0,458(0),[Åì] Àª»ÊÏÂ¹À
5,6,12,¥Õ¥é¥¤¥¯¡¼¥²¥ë,²´3,56.0,¥ì¡¼¥ó,1:21.8,¥Ï¥Ê,5.1,2.0,474(+4),[Åì] ¹õ´äÍÛ°ì
6,7,13,¥¦¥¨¥¹¥¿¥ó¥é¥ó¥Ý,ÌÆ3,53.0,µÆÂô°ì¼ù,1:21.8,¥¢¥¿¥Þ,23.9,6.0,408(+2),[Åì] ¿¼»³²í»Ë
7,8,16,¥Þ¡¼¥ô¥§¥é¥¹¥¯¥¤¥ó,ÌÆ3,54.0,ÆâÅÄÇî¹¬,1:21.8,¥Ï¥Ê,10.8,4.0,414(+2),[Åì] ¸Å²ì¿µÌÀ
8,7,14,¥ô¥©¥¢¥é,ÌÆ3,54.0,ÂçÌîÂóÌï,1:21.8,¥¯¥Ó,5.4,3.0,478(+8),[Åì] ¿·³«¹¬°ì
9,6,11,¥ì¥Ç¥£¥ª¥¹¥«¥ë,ÌÆ3,54.0,²ÅÆ£µ®¹Ô,1:21.9,¥¯¥Ó,47.1,11.0,450(+10),[Åì] °ËÆ£¿­°ì
10,1,1,¥·¥ç¥¦¥Ê¥ó¥µ¥¸¥ó,²´3,56.0,µÈÅÄË­,1:22.0,3/4,27.3,7.0,478(+6),[Åì] ÅÄÃæ¹ä
11,4,8,¥À¥¤¥æ¥¦¥Ö¥é¥¤¥¢¥ó,²´3,53.0,»³ÅÄ·É»Î,1:22.2,1.1/2,375.8,16.0,456(+26),[Åì] ÀÄÌÚ¹§Ê¸
12,8,15,¥¯¥ê¥Î¥«¥ê¥Ó¥¢¥ó,ÌÆ3,51.0,Æ£ÅÄºÚ¼·,1:22.6,2.1/2,110.1,13.0,420(-4),[Åì] ¹â¶¶µÁÇî
13,1,2,¥Þ¥¤¥Í¥ë¥Ð¥Ã¥«¡¼¥Î,²´3,56.0,¼ÆÅÄÂçÃÎ,1:23.2,3.1/2,31.5,8.0,492(+8),[Åì] µÆÂôÎ´ÆÁ
14,3,5,¥¢¥à¡¼¥ë¥ê¥ó¥¯¥¹,ÌÆ3,54.0,´Ý»³¸µµ¤,1:23.3,¥¯¥Ó,95.3,12.0,434(0),[Åì] ÃæÀî¸øÀ®
15,4,7,¥¢¥¦¥È¥¹¥È¥ê¥Ã¥×,ÌÆ3,51.0,ÌÚÈ¨°éÌé,1:23.9,4,259.0,14.0,420(-4),[Åì] Âç¹¾¸¶Å¯
16,5,10,¥é¥Ö¥¨¥Æ¥ë¥Î,²´3,56.0,Éð»ÎÂôÍ§,1:27.4,Âç,323.5,15.0,468(0),[Åì] ¸Å²ì»ËÀ¸
1,6,9,¥Þ¥­,²´3,56.0,¥ì¡¼¥ó,1:39.4,,2.7,2.0,532(0),[Åì] ¼êÄÍµ®µ×
2,5,7,¥¿¥¤¥»¥¤¥·¥ã¥È¥ë,²´3,56.0,¸Íºê·½ÂÀ,1:39.4,¥¯¥Ó,2.1,1.0,474(0),[Åì] ºØÆ£À¿
3,5,6,¥³¥Ñ¥Î¥¢¥À¥à¥¹,²´3,56.0,ÂçÌîÂóÌï,1:39.6,1,49.9,9.0,490(0),[Åì] °ð³À¹¬Íº
4,3,3,¥È¡¼¥­¥ç¡¼¥µ¥Ð¥¯,²´3,56.0,¥ë¥á¡¼¥ë,1:39.8,1,7.7,3.0,490(+12),[À¾] °ÂÅÄæÆ¸à
5,7,11,¥Þ¡¼¥Ù¥é¥¹¥¢¥²¥ó,²´3,56.0,¹¾ÅÄ¾ÈÃË,1:40.1,2,18.1,5.0,470(-2),[Åì] ²ÃÆ£ÏÂ¹¨
6,6,8,¥Ï¥ó¥¿¡¼¥Ð¥ì¡¼,²´3,56.0,ÅÄÃæ¾¡½Õ,1:40.3,1.1/4,12.6,4.0,486(-4),[Åì] ½¡ÁüµÁÃé
7,2,2,¥È¡¼¥»¥ó¥¢¥á¥¸¥¹¥È,ÌÆ3,54.0,µÈÅÄË­,1:40.4,¥¯¥Ó,85.4,12.0,482(0),[Åì] ¾®É°»³¸ç
8,1,1,¥Î¥ê¥ª¥µ¥ó,²´3,56.0,ÆâÅÄÇî¹¬,1:40.5,3/4,70.0,11.0,502(-2),[Åì] Éð»Ô¹¯ÃË
9,4,4,¥Ô¥«¥ì¥¹¥¯¥¹¥Þ¥¤¥ë,²´3,54.0,ÌîÃæÍªÂÀ,1:41.0,3,38.3,8.0,436(+6),[Åì] ¸Å²ì¿µÌÀ
10,7,10,¥à¥­¥à¥­¥à¥Ã¥­¡¼,²´3,53.0,Æ£ÅÄºÚ¼·,1:41.9,5,65.3,10.0,516(+10),[Åì] ÂçÏÂÅÄÀ®
11,8,13,¥Þ¥¹¥Æ¥£¥Õ,²´3,56.0,À¾ÅÄÍº°ì,1:42.4,3,228.9,13.0,482(-6),[Åì] µ×ÊÝÅÄµ®
12,4,5,¥é¥¹¥ô¥§¡¼¥È,¥»3,56.0,»°±º¹ÄÀ®,1:42.7,1.3/4,22.0,6.0,478(+2),[Åì] ¾å¸¶ÇîÇ·
13,8,12,¥Ç¥¤¥È¥Ê¥Ó¡¼¥Á,²´3,53.0,ÌÚÈ¨°éÌé,1:46.3,Âç,35.2,7.0,558(0),[Åì] Æ£ÂôÏÂÍº
1,6,11,¥Ö¥ë¥È¥¬¥ó¥°,²´2,54.0,¥ë¥á¡¼¥ë,1:50.1,,1.5,1.0,506(0),[Åì] ¼êÄÍµ®µ×
2,4,7,¥·¥§¥¯¥í¥¨,ÌÆ2,54.0,´Ý»³¸µµ¤,1:50.7,4,30.7,5.0,432(0),[Åì] ¾®Ìî¼¡Ïº
3,3,5,¥³¥¹¥â¥¿¥¤¥·,²´2,54.0,¼ÆÅÄÂçÃÎ,1:50.9,1.1/4,37.7,6.0,446(0),[Åì] ¹â¶¶¾ÍÂÙ
4,1,2,¥è¥·¥¿¥«,²´2,54.0,ÅÄÃæ¾¡½Õ,1:50.9,¥¢¥¿¥Þ,95.7,10.0,442(0),[Åì] ÅÄÅç½ÓÌÀ
5,1,1,¥ê¥ó¥°¥¢¥Ù¥ë,ÌÆ2,54.0,ÄÅÂ¼ÌÀ½¨,1:51.0,1/2,5.4,2.0,476(0),[Åì] Çë¸¶À¶
6,8,16,¥í¡¼¥É¥ª¥Þ¡¼¥¸¥å,²´2,54.0,»°±º¹ÄÀ®,1:51.2,1.1/2,7.9,3.0,466(0),[Åì] Èø·ÁÏÂ¹¬
7,3,6,¥¸¥§¥¤¥±¥¤¥¨¥Ô¥Õ¥¡,ÌÆ2,54.0,ÆâÅÄÇî¹¬,1:51.3,¥¯¥Ó,92.5,9.0,462(0),[Åì] ¼¯¸ÍÍº°ì
8,5,10,¥¶¥ó¥Ñ¡¼¥¿,²´2,54.0,ÂçÌîÂóÌï,1:51.6,1.3/4,99.1,11.0,430(0),[Åì] ÅÄÃæÇî¹¯
9,5,9,¥·¥²¥ë¥¹¥¤¥»¥¤,²´2,54.0,²£»³Åµ¹°,1:51.8,1.1/2,51.7,7.0,470(0),[Åì] ÅÄÃæ¹ä
10,4,8,¥È¡¼¥»¥ó¥½¥ï¥ì,²´2,51.0,»³ÅÄ·É»Î,1:52.4,3.1/2,198.4,14.0,474(0),[Åì] ¾®É°»³¸ç
11,8,15,¥¤¥ó¥Ç¥£¡¼¥É¥·¥Á¡¼,²´2,54.0,µÈÅÄË­,1:52.5,1/2,100.0,12.0,492(0),[Åì] ¾å¸¶ÇîÇ·
12,6,12,¥µ¥¤¥É¥¹¥È¡¼¥ê¡¼,²´2,53.0,ÌÚÈ¨¹ªÌé,1:53.0,3,204.0,15.0,488(0),[Åì] ¹â¶¶¾ÍÂÙ
13,2,3,¥Ë¥·¥Î¥³¡¼¥É¥Ö¥ë¡¼,²´2,54.0,¸Íºê·½ÂÀ,1:53.0,¥¯¥Ó,8.6,4.0,446(0),[Åì] ¾®É°»³¸ç
14,2,4,¥Ë¥·¥Î¥¼¥Î¥Ó¥¢,ÌÆ2,52.0,ÌîÃæÍªÂÀ,1:53.1,¥¯¥Ó,55.1,8.0,448(0),[Åì] ³þÌî¹ÀÆó
15,7,14,¥é¥¤¥ó¥¹¥È¥ê¡¼¥à,²´2,54.0,À¾ÅÄÍº°ì,1:53.2,1/2,147.2,13.0,442(0),[Åì] ÉðÆ£Á±Â§
16,7,13,¥·¥²¥ë¥¨¥ê¥¹,²´2,54.0,Éð»ÎÂôÍ§,1:54.7,9,264.7,16.0,472(0),[Åì] °ð³À¹¬Íº
1,2,3,¥¸¥ç¥¬¡¼¥ë¥Ü¥Ë¡¼¥È,²´3,56.0,¥ì¡¼¥ó,1:25.6,,4.7,3.0,452(-4),[Åì] ÁêÂô°ê
2,7,13,¥µ¥ó¥í¥¢¥Î¡¼¥¯,²´3,56.0,éâÌ¾ÀµµÁ,1:26.3,4,11.5,5.0,466(0),[Åì] ¿·³«¹¬°ì
3,1,2,¥×¥é¥Á¥Ê¥Ý¥»¥¤¥É¥ó,²´3,56.0,¥ë¥á¡¼¥ë,1:26.3,¥Ï¥Ê,3.7,2.0,462(-18),[Åì] ±üÂ¼Éð
4,5,10,¥·¥å¥ó¥é¥ó,ÌÆ3,54.0,µÈÅÄË­,1:26.4,3/4,73.3,11.0,430(0),[Åì] ¾®É°»³¸ç
5,1,1,¥Þ¥¤¥Í¥ë¥Ê¥¤¥Ú¥¹,²´3,56.0,¼ÆÅÄÂçÃÎ,1:26.6,1.1/4,17.0,8.0,462(0),[Åì] °ËÆ£·½»°
6,8,15,¥×¥ê¥Þ¥ô¥©¥ë¥¿,ÌÆ3,53.0,µÆÂô°ì¼ù,1:26.8,1,53.2,10.0,416(-6),[Åì] ÌðÌî±Ñ°ì
7,6,11,¥·¥ó¥Ü¥ê¥Î¥ï¡¼¥ë,ÌÆ3,52.0,ÌîÃæÍªÂÀ,1:27.1,2,74.4,12.0,460(0),[Åì] µÆÀîÀµÃ£
8,3,6,¥¿¥¤¥È¥í¡¼¥×¥¦¥£¥ó,ÌÆ3,54.0,»°±º¹ÄÀ®,1:27.2,1/2,3.4,1.0,420(0),[Åì] Æ£¸¶Ã¤Íº
9,7,14,¥¹¡¼¥¹¡¼,ÌÆ3,54.0,ÀÐ¶¶æû,1:27.2,¥¢¥¿¥Þ,14.9,6.0,424(+2),[Åì] ÂçÏÂÅÄÀ®
10,2,4,¥Ï¥ë¥·¥ª¥ó¥Ç¥¤¥º,²´3,53.0,ÌÚÈ¨°éÌé,1:27.6,2,15.9,7.0,458(-2),[Åì] ÅÄÃæ¹ä
11,6,12,¥Ë¥·¥Î¥Ó¥¢¥ó¥«,ÌÆ3,54.0,ÆâÅÄÇî¹¬,1:27.7,3/4,23.6,9.0,462(-4),[Åì] ¿ù±º¹¨¾¼
